Issue ID,Issue Name,Category,Severity,Status,Assignee,Date Reported,Date Resolved,Impact Score,Risk Level,KPI/KRI,Department Affected
CSA-1,Brand e-business niches,Legal Assessment,High,Open,Richard Thomas,2024-10-02,2024-02-22,5.3,Medium,KPI,Security and Risk
CSA-2,Iterate ubiquitous platforms,Risk Assessment_4,Critical,In Progress,Tony Anderson,2024-04-30,2024-04-11,2.6,High,KRI,Data Privacy
CSA-3,Visualize impactful vortals,Penetration Testing,Medium,Resolved,Diana Gallagher,2024-02-24,,1.1,Low,KPI,HR and User Awareness
CSA-4,Incubate enterprise web-readiness,Director Review_3,Low,Open,Jason Jackson,2024-05-20,2024-09-29,2,High,KRI,Application Development
CSA-5,Maximize scalable paradigms,Risk Assessment_6,Medium,Open,Samantha Chandler,2024-09-30,2024-01-06,8.2,Medium,KPI,Security and Risk
CSA-6,Monetize synergistic platforms,Pen Test Review,High,Resolved,Amanda Armstrong,2024-09-12,,9.9,High,KPI,Application Development
CSA-7,Redefine b2b technologies,Risk Assessment_3,Low,Resolved,Heather Peters,2024-07-07,2024-10-03,3.9,High,KRI,Data Privacy
CSA-8,Seize end-to-end roi,Director Review_6,Low,In Progress,Ryan Evans,2024-08-10,2024-07-16,7.9,Medium,KPI,Procurement
CSA-9,Expedite seamless interfaces,Risk Assessment_3,Medium,In Progress,Megan Howard,2024-07-09,2024-09-01,8.7,Low,KPI,IT Operations
CSA-10,Redefine dynamic architectures,Procurement Review,High,In Progress,Michael Howard,2024-06-10,,3.4,Medium,KPI,Software Engineering
CSA-11,Visualize b2c models,Management Assessment,Low,Resolved,Jennifer Kerr,2024-08-02,2024-09-12,5.6,High,KPI,Legal and Compliance
CSA-12,Engineer next-generation channels,Threat Identification,High,Open,Victoria Watson,2024-01-21,,5.9,Low,KPI,Cloud Infrastructure
CSA-13,Extend back-end systems,Control Risk Assessment,Medium,In Progress,Katherine Martin,2024-04-19,2024-03-18,6.2,Medium,KRI,Procurement
CSA-14,Incentivize sticky convergence,Director Review_2,Medium,Resolved,Tommy Ritter,2024-07-21,,9.2,High,KRI,IT Security
CSA-15,Grow ubiquitous bandwidth,Application Security Assessment,High,Resolved,Jenny Griffith,2024-06-27,,9.2,Medium,KRI,Risk and Compliance
CSA-16,Re-contextualize next-generation e-services,Management Assessment,Low,Resolved,Jason Sanchez,2024-10-11,2024-09-08,8,Low,KRI,Cloud Infrastructure
CSA-17,Utilize impactful technologies,Director Review_5,Critical,Open,Robert Young,2024-08-20,2024-10-12,8.6,Low,KPI,IT Security
CSA-18,Embrace extensible convergence,Control Risk Assessment,Critical,In Progress,Jeremy Miller,2024-10-07,,9.7,High,KPI,Risk and Compliance
CSA-19,Cultivate distributed methodologies,Business Assessment,Critical,In Progress,Kevin Baxter,2024-03-19,2024-04-17,4.4,Medium,KPI,Network Operations
CSA-20,Generate extensible users,Threat Risk Assessment,High,Resolved,Haley Guerrero,2024-05-02,,5.4,Low,KRI,Data Privacy
CSA-21,Transform interactive e-business,Threat Identification,Low,In Progress,John Hale,2024-05-04,,7.9,Low,KPI,Legal and Compliance
CSA-22,Exploit synergistic e-markets,Director Review_6,Critical,Open,Jacqueline Young,2024-07-02,2024-07-14,2.2,Low,KPI,IT Security
CSA-23,Morph leading-edge solutions,Director Review_6,Medium,Resolved,Travis Bowen,2024-08-21,2024-01-11,6.9,Low,KRI,Data Privacy
CSA-24,Facilitate dynamic metrics,Procurement Review,Medium,Open,Michael Lee,2024-03-15,,1.6,High,KRI,Procurement
CSA-25,Unleash killer systems,Control Risk Assessment,Critical,Open,Katrina Lucas,2024-05-16,,9.1,High,KPI,HR and User Awareness
CSA-26,Enhance cross-media content,Risk Assessment_5,High,Resolved,Victoria Diaz,2024-05-10,2024-01-31,8.2,Low,KPI,HR and User Awareness
CSA-27,Extend clicks-and-mortar platforms,Director Review_5,Medium,Open,Ronald Lewis,2024-08-07,2024-07-28,9.4,High,KPI,IT Security
CSA-28,Architect sticky web-readiness,Impact Analysis,Critical,In Progress,Lucas James,2024-02-06,,3.8,High,KPI,Cloud Infrastructure
CSA-29,Innovate cross-platform experiences,Director Review_1,High,Resolved,Brooke Calderon,2024-06-04,,5.6,Medium,KPI,Procurement
CSA-30,Transition robust content,Director Review_1,Medium,Resolved,Christine Parker,2024-07-23,,3.9,Low,KRI,Application Development
CSA-31,Re-intermediate frictionless e-services,Risk Assessment_1,Critical,Resolved,Betty Little,2024-09-24,2024-03-05,2.5,High,KPI,IT Security
